video_id,title,published_at,description,channel_title,channel_id,category_id,view_count,like_count,comment_count
W3yszmxUUbs,"""Easy and yummy 😋chicken momos 🥟recipe!"" #farhatskitchen #food #recipe #cooking",2026-06-15T08:00:26Z,"Ingredients (Quantity Guide)
Dough ke liye:
 Maida: 1.5 cup
 Namak: Ek chhota chammach (swad anusar)
 Pani: Gootne ke liye (jitni zaroorat ho)
Filling ke liye:
 Chicken Keema: 250-300 grams (boneless chicken ko mixer mein grind kar lein)
 Pyaz: 1 bada (bilkul barik kata hua)
 Soy Sauce: 1 bada chammach
 Red Pasta/Pizza Sauce: 1 bada chammach (jo video mein dikhaya gaya hai)
 Oil: 1 chhota chammach
 Namak: Swad anusar
 Masala: ½ chhota chammach (Black pepper powder ya Chicken masala)
Banane ka Tarika (Step-by-Step)
Step 1: Dough Taiyar Karein
 Ek bowl mein maida aur namak milayein. Thoda-thoda paani daalkar ek tight (sakht) aata goondh lein.
 Aate ko dhak kar 15-20 minute ke liye chhod dein taaki woh set ho jaye.
Step 2: Filling Taiyar Karein
 Ek bowl mein pisa hua chicken keema lein.
 Isme barik kata hua pyaz, soy sauce, red sauce, oil, namak aur masala powder daalein.
 Haath se acche se mix karein taaki sabhi cheezein chicken mein rach-bas jayein.
Step 3: Momos Shape Dein
 Aate ki choti-choti loiyan (balls) banayein aur unhein patla bel lein.
 Ek glass ya katori ki madad se gol shapes kaat lein (video ki tarah).
 Beech mein thodi si chicken filling rakhein, kinaron ko paani se halka gila karein aur pleated style mein fold karke band kar dein.
Step 4: Steam Karein
 Idli maker ya steamer ki plate par halka sa tel lagayein taaki momos chipke nahi.
 Momos ko steamer mein rakhein aur 10-12 minute tak medium heat par steam karein.
Step 5: Serving
 Jab momos transparent aur shine karne lagein, toh samajhiye woh taiyar hain!
 Inhein garam-garam Spicy Momos Chutney ke saath serve karein.
Pro Tip: Agar aap chahte hain ki filling aur juicy bane, toh chicken keema mein thoda sa butter ya ek chammach malai bhi mila sakte hain.",Farhat's Kitchen,UC2SWHvzx5sL88CkDTtGLaeA,22,434,13,0
yrfATt1akrE,How to make peanut butter #shorts #food #cooking #recipe #ytshorts,2026-06-15T08:00:30Z,How to make peanut butter #shorts #food #cooking #recipe #ytshorts,Anmol fast food Corner ajmer,UCZBMFEsYy_n9ieIGMoc1y1Q,22,512,4,0
BIiiwG4wYjY,Instant dahi bhalle #youtube #food #recipe #viral #cooking #trending #easyrecipe #shortsfeed #shorts,2026-06-15T08:00:07Z,#indianfoodies #spicydishes #indianfood #curdcurry #tandoorichai #spicychutney #korma #indianfeast #northindianfood #indiankitchen,Foodie fun with Seema,UCeCyKm-SlCF14u1DJN78v8w,26,851,11,1
nD39jO_aZ0w,Easy egg fried rice✨||#food #cooking #recipe #fypシ゚viral #fyp #shorts #viral #trending #shortsfeed,2026-06-15T07:46:00Z,,Tasty Cooking,UCzMcCzUh1TPHCQzHDpK45dQ,26,765,0,1
Sh97WPpPotk,#food #cooking #recipe gorom vat r sathe jdi hoy vorta thle r ki lage??,2026-06-15T07:38:54Z,,Urmi Meher,UCkGEEqR0cRgcP6HHMwAKaYA,22,458,0,0
EfuHkc8PeCA,Mutton champaran|bihari style| #food #cooking #recipe #mutton #muttongravy,2026-06-15T07:38:25Z,,Shabana's Family,UCT-DGPWti_qjzWKOQAnGu4w,26,12764,377,7
q_-K6H_uX7A,Cute jam shots ❤️😂 #food #recipe #foodie #cooking,2026-06-15T07:35:42Z,,Anamika Barman,UCRUOCsDbUA5QBBtswCIWVwQ,22,18632,1933,17
chl1brkg1j0,सूखे नारियल 🥥 की चटनी 😋👌 #food #recipe # #youtubeshorts  #cooking #streetfood  #shortvideo,2026-06-15T07:35:14Z,,Rathore recpie factory😋,UCZGNlbxICpxYcfwRoCrHnmQ,26,488,5,0
_MUVmQ6P7cc,SewaiKeer💜 #homemade #trend #trendingshorts #reels #youtubeshorts #youtube #food #recipe #cooking,2026-06-15T07:33:49Z,,HungryDiary,UCPFbc-AfIK0B0a8JNcpfCKA,22,450,5,0
rJ4bei8e26c,day in my life#shortvideo #shortsfeed #food #cooking #recipe#minivlog,2026-06-15T07:30:39Z,,Dhanikksha Sameera lifestyle ,UCEflVPlo6F-faD0Vo7HNPlg,22,571,8,0
v9z-ZqvP6D8,healthy methi dry fruits Ladoo#methiladoo #ytshorts #food #recipe #cooking #healthy #dryfruits,2026-06-15T07:30:33Z,,Lavanya Kilje,UC_AW6Axv2efoOHFyRVcC-xg,22,393,8,2
0NliLazZg_U,"🌿 ""ಬಿಸಿ ಅನ್ನಕ್ಕೆ ಸೊಪ್ಪು ಬೇಳೆ ಬಸ್ಸಾರು ಸೇರಿದರೆ, ಊಟವೇ ಹಬ್ಬವಾಗುತ್ತದೆ.""#food #cooking #recipe #shorts",2026-06-15T07:28:04Z,,MS VLOGS ,UCS1eaXe76_AuRP1UyKI2z5A,22,848,10,2
EQv8E4Sfm_o,#mrichi bajji #food #cooking #recipe ##indianfood #youtubeshorts,2026-06-15T07:26:08Z,,Aruna's Kitchen flavours ,UCbElhUYR7qRjtq-lWUuLJDQ,22,628,7,0
zVYyH1Z3aaQ,"ഒരു variety ചമ്മന്തി ആയാലോ,🍛#viral #food #youtubeshorts #cooking#recipe #fyp #soyabean #top#shorts",2026-06-15T07:23:20Z,"ഒരു variety ചമ്മന്തി ആയാലോ,🍛#viral #food #youtubeshorts #cooking#recipe #fyp #soyabean #top#shorts",Stephy Francis N2 ,UCq4_hzKoVUGngUP1A-EM2Og,24,886,3,0
W0uZLUTvZ2Q,Сезон кабачків офіційно відкрито 😉😄 #food #простоісмачно #cooking #recipe #кабачки #закуска,2026-06-15T07:18:38Z,,Інна Кабачинська,UCCksJGlvDhy64uyyy97lVog,22,450,16,0
